aafkagh-,to burst
inegniigh-,to put hand into pocket
ineg-,to have pain in inguinal glands
ineligh-,to sew on a pocket
ineqsuke-,to find attractive or cute (especially a baby)
ineqsunagh-,to be attractive (especially of a female); to be pretty
ingaghte-,to lie down
ingapighqaagh-,to move over a little; to postpone
inghu-,to pick berries; to pick up small berry-like items (beads, marbles, etc.)
ingliigh-,to lay out bedding
ingllevagh-,to move sideways
ingyaghaghte-,to do something ahead of another; to pass; to go ahead of; to surpass
ingyagh-,to do something ahead of another; to pass; to go ahead of; to surpass
iniightugh-,to be hanging things
iniiragh-,to dry meat in strips to dry inside the house
ini-,to hang to dry
inpite-,to distribute or receive a piece or pieces of a catch during butchering
inukagh-,to suddenly change one's mind and withdraw from an activity or not repeat an action
ipapiighqe-,to come to pass; to become reality
ipegriqe-,to be persistent
ipegsagh-,to sharpen; whet
ipeg-,to be sharp
ipigra-,to be kicking about; to be thrashing around with the feet
ipigtu-,to come high up the leg (of boots, socks, etc.)
iptag-,to pry; to use a lever on
ipugte-,to tilt up one's head; to perk up
ipug-,to pry; to scoop; to pick up with a fork or other sharp object
iqaaghqe-,to get dirty
iqalgu-,to be dirty
iqali-,to get acquainted with a stranger 
iqalliniigh-,to fish
iqallugte-,to catch fish
iqangigh-,to clean
iqangite-,to be clean
iqaniigh-,to fish for king crab through the ice
iqatu-,to be dirty
iqeghte-,to tether a dead walrus to shore or boat for butchering
iqeghtiigh-,to remove or lose paint; to scrape one's skin accidently
iqemyaaghagh-,to grin broadly
iqenge-,to smile
iqetughte-,to widen
iqetu-,to be wide
iqiqute-,to move (it/him) over or away; remove (it/him)
iqite-,to move; to remove
iqitqute-,to move away from a crowd
iqitute-,to make room for
iqlengagh-,to be a liar
iqlengiqe-,to lie; to tell lie(s)
iqlighayiilliqe-,to smile awkwardly from embarrassment
iqlighmete-,to be smiling
iqlighte-,to smile
iqligh-,to light a seal-oil lamp
iqlugte-,to gnaw
iqlumghu-,to doubt; to be unsure of something
iqmiligha-,to have so much food in the mouth that the cheeks bulge
iqraghqe-,to become crooked; to distort one's face
iqragmete-,to be crooked; to be slanted
iqregaghte-,to chip
iqugte-,to end; to come to an end
iqunighte-,to slant; to lean; to tilt; to favor (agree or side with someone)
iqute-,to defeat in a wrestling match
iqu-,to fall over
iqwaagha-,to stumble or stagger around
iriig-,to not fall; to stay erect
isami-,to pay attention to (him); to tend to (him)
isavghagh-,to move boat on sea ice using small sled
isekinagh-,to be cold to the touch (of water, metal, etc.)
isiqaghte-,to splash
isiqghute-,to toss out liquid; to throw out liquid
isiqghuute-,to fall into the water with a splash
itagnaghi-,to recover; to get well; to get enough to feel satisfied; to become acceptable
itagnagh-,to be okay; to be satisfactory; to be acceptable
itagnaghyug-,to feel satisfied
itagsi-,to be thrifty; to not be wasteful
itake-,to take care of (self, clothes, belongings, etc.); to save for later use; to conserve
itegaastaghmig-,to catch with claws or talons
itegaastagh-,to hit on the foot with rock, bullet, arrow, etc.
iteghaghwaagh-,to submerge (of whales)
itegherki-,to move back and forth or in and out; to go by boat betweem ice floes
iteghsigh-,to move into a house
itegh-,to go in; to enter; to move in
iteghwaghwaagh-,to submerge (of whales)
itegmigute-,to trip and fall; to kick against something
itegmig-,to kick
iteme-,to come undone; to come untied
itemqugh-,to take apart; to disassemble
itghagh-,to go further inward
itghaghwaghwaagh-,to submerge (of whales)
itghute-,to bring in
itghuugute-,to get wet; to be soaked
itugigh-,to milk
ivaghniigh-,to hunt
ivagh-,to search for; to miss (and look for); to look for
ivegh-,to wade
ivenrugh-,to operate an outboard motor; to go by a boat powered by a motor
ivgagha-,to be in a trance (usually alone)
ivgagh-,to come or go around the corner; to come or go into the room
ivgeghreghugh-,for a strong wind to come around a point or projection of land
ivghaagh-,to wade around
iviigh-,to celebrate a certain ceremony in which a group of clan women sing after a whale has been caught 
ivrestuune-,to sharpen with a whetstone
iwhani-,to do like that
iyagh-,to make a design; to write; to apply a tattoo; to go to school
iyarutaagh-,to drill a hole
iyatagh-,to be hungry
iyellugmete-,to have bad eyesight
iyengekestagh-,for one's eyes to begin to open (as of a puppy)
iyesughnagh-,to be irritating to the eyes
iyeveli-,to make the eyes figure in a game of cat's cradle
kaaghte-,to let the current drift a boat or an animal carcass
kaagute-,to strike
kaalgugh-,to haul dead whale or the like to shore
kaallataqu-,to arrive safely or opportunely
kaame-,to chew gum
kaamgalugte-,to repeatedly go to get someone without success
kaangqite-,for snow or dust to get into the scalp, fur, or feathers
kaangqwagh-,to cross water or land by jumping from rock to rock or ice block to ice block
kaapegragh-,to tap on something
kaape-,to stab; to poke; to pierce a whale with a harpoon; to innoculate
kaapqaghte-,to jab
kaapute-,to poke something; to bump (of fish); to go into sea swell (of boat)
kaapuvike-,to sew, or stitch on; to fasten or pin
kaate-,to arrive; to reach or get to; to catch up with; to overtake
kaatute-,to come (together)
kaave-,to topple; to collapse; to tumble down; to fall down; for there to be a rockslide or landslide
kaawngkagh-,to jump; to leap
kaaw-,to hit, especially with something other than the hand
kafsagtagh-,to make shuffling, crinkling or rustling sound (s)
kagagniigh-,to try to breathe; to try to catch one's breath
kagalaqe-,to cut and divide up meat from a catch so that it is ready to be put on sleds
kagaqe-,to remove gum material from baleen
kagaragh-,to catch or touch something or someone with the horns; to butt
kagasigh-,to check a crab-line
kaga-,to be unruly; to be disordered; to be disheveled (of hair or the like)
kagaygute-,to excitedly run about
kaghyagh-,to brag about
kagime-,to crumble
kagimte-,to crush
kagpag-,to pack; to store away somnething
kagpesug-,to feel claustrophobic; to feel closed in upon; to feel breathless
kagsagmig-,to whip repeatedly
kagsagte-,to whip
kagtaghtaghwaagh-,to keep concealed
kaguugh-,to reach in and keep one's hand(s) in (as to feel around for something)
kaguuragh-,to explore by reaching in; to feel around inside
kagu-,to reach in
kakavaatagh-,to be extremely panicky
kakave-,to panic
kakeggmillaghqe-,to make one's nose bleed
kakeghqe-,to have a bloody nose; to have a nosebleed
kakeglliigh-,to have a runny or snotty nose
kakegllugigh-,to wipe or blow one's nose
kakegllugtu-,to have a congested nose
kakegte-,to have a bloody nose; to have a nosebleed
kakelighte-,to have a cold
kakiigh-,to keep on sewing
kaki-,to sew
kakivike-,to sew something onto (it); to fasten a charm onto (him)
kaksaate-,to throw something (belt, rope, etc.) over someone; to whip
kaksag-,to whip
kalefkaghte-,to sink suddenly
kaleru-,to brag about one's possessions
kaleve-,to sink into water, mud, snow, etc.; to drown
kallagte-,to drum (and sing); to beat the drum
kallite-,to be thundering
kallugughte-,for there to start to be thunder
kalngagmig-,to put into a sealskin bag
kamagragh-,to butt
kamegragh-,to drive reindeer with a sharp stick
kameg-,to put on skin-boots
kamiigh-,to make boots
kanaghaghte-,to put (it) in quickly
kanagha-,to walk with difficulty through soft snow
kanaghite-,to sink in the ocean and be hard to pull up (of a heavy sea mammal)
kanaghtaagh-,to keep in a container
kanaghte-,to put into container
kanagh-,to step through soft ice or into a hole 
kanakiiwhte-,to stare downwards with the head bent down; to keep one's eyes lowered
kanavagh-,to move downwards; to go out to sea; for west wind to blow
kanegh-,to frost
kangestiiqu-,to go to a place bringing one's supplies and equipment in several trips
kangghalugte-,to feel better after an illness
kangii-,to take away from oneself
kangllaagh-,to close in on something
kanglluute-,to stand or crowd around something in large numbers
kangllu-,to surround; to crowd around
kanglu-,to surround; to crowd around
kangsugh-,to be too large to fit in an opening
kangsumqaghte-,to get stuck trying to go through an opening
kangsuute-,to crowd together in a small area
kangyaaqe-,to see (him) off on a trip
kaniiyugte-,to jealously guard one's priority in a situation
kanuughqe-,to accidently get blood on; to bloody
kanuuguute-,to bleed
kapeghte-,to pound on something repeatedly; to pound blubber to make it render faster
kapsagtagh-,to rustle
kapugh-,to stab repeatedly; to poke repeatedly; to innoculate people
kasivag-,to encounter or meet head-on unexpectedly
kaspugte-,to pass through a specific time or place; to go around; to go through completely from beginning to end; complete (a course of action)
kasughqu-,to repeatedly hit (as waves on a cliff)
kasug-,to bump into something hard; for surf to hit shore; for waves to hit boat; to club (hit hard)
katag-,to empty or dump a container outside
katelghaate-,to come as a group
katengsi-,to gather or save up something
kavighqwaa-,to blush; to redden
kavighte-,to redden; to dye red
kavighuute-,to suddenly emit red light or become reddish
kavite*-,to be red
kavyugite-,to be soft-spoken
kavyuguute-,to speak softly
kayaaghtaagh-,to flex the arm muscle
kayaali-,to weaken; to get weak
kayaalqe-,to beat; to conquer; to outdo; to win
kayaalqiiraaghute-,to compete
kayaate-,to be weak
kayaghqagh-,to hope
kayagte-,to urge; to send someone on an errand
kayalaawi-,to become weak; weaken
kayalnga-,to go somewhere without letting anyone know where
kayanagh-,to be out of condition
kayaqagh-,to encourage; to shout encouragement
kayeme-,to urge; to encourage; to aid; to help
kayemghagh-,to keep encouraging
kayemghhagh-,to move (something) by leaning and pushing on it
kayemugh-,to keep encouraging
kayepghagh-,to scoot oneself along the ice on a small sled pushing with sticks or the like against the ice
kayi-,to cook (chopped seal blubber) to extract oil; to make oil from
kayngumiqe-,to be embarrassed
kayngungite-,to not be shy; to not be embarrassed or ashamed
kayngusaghagh-,to make a fool of oneself
kayngusleghagh-,to become embarrassed by one's actions but still continue them
kayunge-,to become faster; to accelerate
kayusigh-,to help
kayusiite-,to help out
kazegh-,to go out
kazifkagte-,to walk around something
kazifte-,to spin
kazivaalug-,to get dizzy
kazive-,to spin; to whirl; to engage in a certain shamanistic rite
kazivutkagh-,to be anxious and confused
kegaraasigh-,to make slashes through the skin at the crown of the head of a caught walrus or bearded seal to attach a rope for pulling or hoisting
kelag-,to unravel; to come undone
keleg-,to alert someone of an opportunity, danger, etc.; to tell someone that it's time to act; to invite; to alert; to inform; to startle and scare away (a wild animal)
kelengake-,to guard; to watch for or watch out for; to babysit
kelengaruugh-,to watch carefully
kelenga-,to be wary; to be on guard
kelevagh-,to go back from shore or behind building; to take back from shore or behind building; to go further into the house or room
keleve-,to cut into a strip (when making thong from hide)
kelgugh-,to invite people; to inform people
kelgunghughte-,to make or become wary (of game animal)
kelgute-,to show; to reveal
keligagh-,to scrape with long easy strokes
keligtugh-,to scrape with short hard strokes
kelig-,to scrape
kellmighqe-,to verify; to find out more
kellngugh-,to be in the (recent) past; to be finished; to be over
kelqe-,to bring along
keluvagh-,to go to the back 
kemgite-,to be skinny
kemkiili-,to pick one's teeth; remove food particle from between teeth
kemnagh-,to be capacious; to be spacious; to hold a lot
keneghmig-,to place in gathered front of garment
kenegte-,to press
keneligh-,to shine a light on (it), put a light in (it)
kenigh-,to point at; to shine a light on (it), put a light in (it)
keniliigh-,to clear a passage for boats
keniqagh-,to point with the middle finger from anger
kenite-,to soak; to soak a skin preparatory to stretching it onto a boat frame
kenlengnaqe-,to ask; to make inquiries about; to try to understand or find out
kenle-,to get to the heart of the matter
kennaqe-,to be going to or intending to set out in a boat from the shore; to put out to sea
kennigh-,to remove an extra oil-lamp; to put away the oil-lamp for the seance of the shaman
kenqignagh-,to be a disciplined person; to be modest
kentate-,to be successful
kenugragh-,to press with knuckles
kenuqagh-,to stab
kenuregh-,to poke hard with the finger
kenuugte-,to develop points (of clouds)
kenu-,to poke; to push into with a pointed instrument; to bore; to test ice
kepe-,to cut off; to cut in half across the short dimension; to sever; to discontinue
kepkagh-,to snap in two; to break in two
kepliigh-,to cut bangs
kepsiiqu-,to lend a hand; to be helpful; to help out
kepsugh-,to have a full stomach; to be satiated; to have enough
kepugh-,to cut up completely; to cut short; to cut hair (in appropriate context)
keskesaagh-,to shoo away a puppy using the expression "kes-kes".
kesnaghte-,to ask for the fulfilment of a promise; to remind
keste-,to count
kesutke-,to count somebody or something in; to add
ketanqu-,to run
kete-,to launch a boat; to go out to sea
ketfaghte-,to recollect
ketfagh-,to go far out to sea; to come out to an open place in full view
ketligh-,to betray
ketmiighte-,to go down along the river; to swim out from shore to sea
ketngig-,to kick (especially with the bottom of one's heel)
kevaawagh-,to raise; to elevate; to place higher
kevaghqu-,to lift a bit to check the weight of something
keveg-,to lift
kevgaagh-,to hold and carry after lifting
kevigh-,to stuff; to plug; to load (a gun); to fill (a hole, crack, etc.)
keviiti-,to prepare meat for storage by putting it in containers
kevyunagh-,to be unappetizing (of food)
kewaayi-,to take and eat only a certain food over and over
kezingughte-,to gather; to save
kiighaghtagh-,to feel feverish; to have chills (from fever or fear)
kiighragtagh-,to get by as best one can despite lack of knowledge
kiighte-,to split (hide or fish); to slice; to separate something into parts leaving them connected on the side (as when slicing a hot dog bun)
kiigumigh-,for there to be a heat wave during winter melting snow and ice
kiig-,to be summer
kiilaa-,to die from a cut or wound (without being taken)(of game animal)
kiimllugte-,to get dim
kiimsigh-,to reply; to answer
kiingighte-,to thaw out food
kiingngwaag-,to tag (in play)
kiiste-,to make red-hot; to burn
kiitigh-,to get a cut or wound
kiive-,to settle (food in stomach, child after crying, tub draining, sediment sinking, etc.); to abate
kiivnigh-,for there to be slush snow in the sea water impeding boat travel
kiksag-,to anchor with a spike or similar thing
kilgaamiqe-,to become a person living wild in the wilderness
kilgaanigh-,to become detached
kilgaaqu-,to run a long distance
kiligh-,to cut; to get cut; to wound
kimaawi-,to be delayed; to act too slowly (as because of factors beyond one's control); to take too long
kinegh-,to dry
kinengyugnaghqe-,to place clothing or other things where they can dry
kingi-,to act babyishly (of a child whose mother is expecting); to have part of a sea mammal carcass eaten by maggots
kingumegte-,to be the last group of whales traveling in the season
kingute-,to be late
kipullegte-,to alternate; to pass (and miss) coming from the opposite direction; to take turns
kiteghqe-,to overcook (meat); to tightly pull the rope on a pulley
kitugh-,to pass; to go by; to surpass
kivaagh-,to calm down; to lessen; to abate; to slacken
kiyaghlliqe-,to contain something; to have something or somebody
kiyaghsigate-,to always be busy; to never be idle
kiyaghte-,to be; to reside; to live; to be alive
kiyaghute-,to support; to provide for; to live by (it)
kiyaqurragh-,to loaf; to do nothing
kuguutitke-,to not want to leave (him) feeling one's help or company is needed
kukeghqugh-,to have a throbbing pain
kukegte-,to shine light; to ignite
kukragniite-,to be easily accomplished; to not be hard to do
kukriqe-,to have a difficult time
kukumtugh-,to try to get at something before others do or before it is too late; to fear being left out or deprived of one's chance
kukumyalqi-,to whistle
kulngagh-,to go slack; to sag
kulngallaagte-,to wither; to fade
kumaagte-,to be infested with lice
kumaghugh-,to grow (of flame)
kumagh-,to be on fire; to be lit; to ignite
kumakigh-,to delouse
kumegagh-,to rake
kumeg-,to scratch to relieve an itch
kumekereqagh-,to scratch lightly repeatedly
kumkiili-,to pick one's teeth; to remove food particle from between teeth
kumkuyalqi-,to whistle
kumlaaghqe-,to freeze solid
kumlama-,to be frozen
kumlamiigh-,to eat frozen meat
kumlaqugh-,to get frostbitten
kumlaregagh-,to begin to freeze
kumlate-,to freeze; to have cold hands and/or feet (or other body part)
kumlii-,to have one's hands become extremely cold and nearly frostbitten
kumyugte-,to gather, reducing in size, an opening of something flexible; to pucker the lips
kurriiqe-,to get cold readily
kurwaawi-,to be joyful for no particular reason
kusgeluughqe-,to make dirty
kusgetu-,to be dirty
kuufkallghugh-,to pour excessively
kuukgute-,to give light; to shine; to kindle a flame
Kuusmeyagh-,to go somewhere for Christmas
kuutughmete-,to be pigeon-toed
kuutughte-,to turn one's toes inward
kuutu-,to be pigeon-toed
kuuve-,to spill; to pour
kuuvragh-,to set a seal net
kuvugh-,to intermittently spill or pour
laaghigh-,to reach edge of  shore ice or shoreword edge of pack ice; for edge of ice to break off
laag-,to dig
laalighfike-,to visit
laalighqwaagh-,to visit around house to house
laalighte-,to visit
lata-,to write a letter
legalnguke-,to feel that one should conserve (it); to value
legalngu-,to feel that one shouldn't be wasteful; to be careful with what one has; to conserve things
legasiighwagh-,to have fun in a way inappropriate for the situation; to make fun of someone or something; to act crazy
legha-,to be unable to breathe due to crying (of infants mostly)
legh-,to expel flatus; to fart
legra-,to be nosy; to be curious; to be inquisitive
legreliqe-,to inquire; to probe or snoop around
legre-,to be nosy; to be curious; to be inquisitive
lengaaghuute-,to ring
lengke-,for snow to fall in an avalanche on one
liighqe-,to cut out a pattern; to make a plan (on paper)
liigiketagh-,to be quick-witted; to be shrewd
liigike-,to recognize; to sense; to understand; to be aware of (it)
liigilliigh-,to fully understand; to learn completely; to master (a subject)
liilightugh-,to advise; to instruct concerning how to life; teach the rules and ways of life
liinnaquma-,to always be ready and eager to learn; to be a studious person
liipghange-,to become aware; to become conscious; to come to one's senses
liisaghagh-,to learn well and remember (of young person); to comprehend well at an early age
liisagh-,to teach
liisimake-,to know
liisima-,to be knowledgeable
liisuqe-,to recognize
liite-,to learn; to gain awareness of one's surroundings (said of a young child); to leave something (usually food) for another
linggha-,to hesitate to ask again due to having already asked and not received a response; to be tired of asking repeatedly without results
lingghayagute-,to be uncomfortable; to feel awkward
lipeghsagh-,to send for something; to send someone with instructions; to leave instructions; to place an order for something
llaaghaaghyugnagh-,to be probable
llagigh-,to cut off
lleve-,to decorate or be decorated; to sew or be sewn with a fancy design
llevlu-,to put fancy handywork on garment
lliigh-,to become a certain way; to start living in a certain place
lliivneqegsagh-,to flatten the surface of something
llilagh-,to command to go somewhere; to send (a person) somewhere; to chase away (an animal)
llilegh-,to have more than what is needed
llineghllugte-,to place something somewhere and forget where it was placed; to misplace
llivegh-,to inter; to bury
lli-,to place; to put; to set
llivike-,to pay; to place something on (it); to get even with (him)
lluuqu-,to hunt with a sling
lluuquyagh-,to go bird-hunting with a sling
lluu-,to use a sling as in hunting
luufsagh-,to fix something up; to make something or someone look nice; to smooth out; to make presentable
maaghaghte-,to run out of or finish up something quickly; to purposely leave none for others
maakeste-,to whip until thick and/or fluffy; to set something upright
maalghuggaaghte-,to be the only two remaining
maallgute-,to get trapped in ice when boating
maame-,to heal (of wound); to close over
maamghu-,to fix temporarily or in a make-shift way
maamkelli-,to become or make thinner, narrower or calmer
maamtu-,to be thick or wide
maangnaqe-,to try to soothe (a crying baby)
maangnaqi-,to try to stop a child from crying
maapi-,to come here (to this general area)
maaqe-,to drain out; to ooze; to flow; to run (of liquids)
maaqiite-,to be lightly dressed
maaqute-,to drift by with the current; for the current to carry one away (as in a boat)
maaste-,to be penetrated by the cold air or wind
maatkagh-,to suddenly clear up after blizzard
maatnegh-,to be warm
maghlag-,to invite to the dance floor during a particular indigenous Eskimo dance event held yearly followed by a gift exchange
maghqate-,to lock up
maghuyugte-,to tuck lower part of face in one's garments
maghyaghaghqugh-,to lead astray
maghyaghqugh-,to lead
maka-,to diaper
makete-,to stand up; to get up; to stand (it) upright
makiga-,to be in an upright or erect state or condition
makigh-,to gnaw on a bone with meat attached to it
makiigh-,to split following the grain (of wood)
makite-,to place one's tail between ones legs
makligha-,to pull in a rope hand-over-hand or check to net this way; to shinny up or down a rope or pole; to get eggs on a cliff down on a rope
maklii-,to butcher or otherwise prepare bearded seal
makregaghte-,to cause elevated abrasions; to scrape one's skin on something
makreg-,to peel; to peel (off); to shed covering, skin, etc.; to strip off skin or the like; to suffer anguish
makrughi-,to have a difficult time doing something
makruughi-,to have a hard time doing something; to be unable to do something difficult
maksulqaghhiite-,to show no sign of living presence; to be quiet and still
makughqugh-,to unharness, unfasten, or otherwise undo dogs
makugte-,to shed; to moult; to slip out of a loop which holds one
malghi-,to give birth to twins
malghughqe-,to act in pairs; to divide in two
malghukaghte-,to act on things twice or two at a time
malghukli-,to be undecided
malghuuya-,to do something twice in a row; to win twice at one time (as in double-jumping in checkers)
malighqagh-,to chase after; to catch up with by chasing
malighqugh-,to chase
malighqutagh-,to always follows the rules
maligsaagh-,to follow along; to follow the pattern
maligtagh-,to accompany; to go with; to follow
maligte-,to accompany; to go with; to follow
mallangllagh-,to litter
malleg-,to be or get close; to be or get next to
malliigh-,to sweep
mamagh-,to suck (at breast or bottle)
mamasugnite-,to age and whiten (of the skin of a beached walrus carcass)
mamlegraagte-,to start to get dark
mamlegte-,to become dark
mamlegute-,to block light; to cast a shadow on; to appear as a dark spot or form in front of it (it)
mamleg-,to be closer to something; to be dark
managh-,to fish with hook and line; to jig for fish; to catch (fish) with hook and line
mangagigh-,to remove outer layer of skin
mangagte-,to lose (part of) outer layer of skin through rubbing or the like
mangghute-,to tie rope securely
mangigh-,to stop crying
mangilate-,to spread in various directions
mangsingugh-,to soothe; to calm
mangteghagh-,to make a house for; to reassemble a house (in fall after its parts have been aired out)
mangteghiigh-,to build a house
mangughte-,to surface or show the back when beginning to dive deeply (of whale)
mangugte-,to lose some of the skin from the back (of a whale)
mangyaangigh-,to sob uncontrollably after crying
mangzighhe-,to gnaw
manigniigh-,to gather eggs; to look for eggs
manigugh-,to soothe; to calm
maniguute-,to have eggs (of bird); to worship; to beg; to present oneself in a pitiful way; to humbly request something
manimsag-,to keep on coming or going over to something
mani-,to move in close
manuli-,to be frosted (of lower part of parka ruff); to have a frosted ruff
maqaaghte-,to warm up
maqaghqe-,to dress warmly
maqagh-,to be warm (of clothing, house, etc.)
maqete-,to drain; to remove liquid from (it)
maqiighsagh-,to be inadequately dressed for the cold
maqughaghti-,to shed tears
masaaghi-,for weather to warm up in spring
masighagh-,to warm oneself by stove or other heat source
masinkate-,to succeed at what one is doing; to do well; to prosper
masleg-,to become skinny; to get thin; become emaciated
masugh-,to get or go right to or on the edge
mataawi-,to have a hard time
mataghhwaagh-,to dress lightly
mataghqe-,to strip one's clothes off; to remove outer garment
mateg-,to get stuck onto something; to come side by side with something
mayaari-,to feel weak and exhausted
mayari-,to tire; to lose fragrance, taste or zest
mayeqelleghagh-,to climb
mayleghuke-,to have doubts about (it)
mayleghunagh-,to be doubtful; to appear unpromising
mayughaate-,to climb up together as a group
mayughti-,to pile up wood or other things; to make a pile
mayugh-,to go up; to ascend; to climb
mayugnite-,to become snagged (of a hook getting stuck on something underwater)
meghe-,to drink
meghnaali-,to rest
meghnugh-,to be tired
meghqe-,to water; to sprinkle water on (it); for water to appear on ice; to splash water on (it); to apply water to (it)
meghquute-,to fall into the water
meghraag-,to be transparent; to be clear
meghraawayi-,to be very light in color; to be transparent
meghragti-,to cry from emotional pain; to shed tears
meghsi-,to give a drink to a person or animal (dog usually)
meghtagh-,to fetch water
megh-,to drink
meghyaghaghqugh-,to lead astray
meghyaghqugh-,to lead
megnunagh-,to be important; to be valued; to be treasured
mekegragh-,to smooth out or make even  with one's teeth
mekegte-,to scrape off; to peel off; to strip off
mekelli-,to become smaller; to make smaller; to alter (by making smaller) in sewing
mekestaaghhaa-,to be small 
mekitaghagh-,to be somewhat smaller
mekitkughmete-,to be somewhat smaller
melangute-,to come into indistinct view through darkness, mist, fog, etc. 
melighte-,to perform shamanistic activity
meliqe-,to send word; to pass the word
meliqi-,to send word by someone 
melitaqe-,to speak harshly to (him)
melite-,to discipline with harsh language
melkaaghte-,to retrieve from the water
mellaate-,to be trapped by sea ice which has closed in around one
mellig-,to close tightly
mellugragh-,to growl
mellu-,to plug; to cover an opening
melqiigh-,to remove fur or body hair from skin; to lose fur
melqiite-,to be bald; to have one's lost hair
melqite-,to be bald; to have one's lost hair
melqunge-,to be fledged; to become covered with hair
melugragh-,to repeatedly suck 
melug-,to suck; to smoke; to bite (of mosquito)
melyugraagh-,to mutter
mengag-,to make a vocal sound
mengelghate-,for people to talk in a way such that they cannot be understood due to distance, noice, etc.
mengghaalugraagh-,to babble (of baby); to mumble; to make non-speech vocal sounds
menghu-,to feel left out when one doesn't receive anything from someone
mengilegnagh-,to be such as to cause one to feel an obligation to act (especially, to render aid)
mengilegyagute-,to tire of being pestered by (him)
mengilegyug-,to feel obliged (due to being cajoled, having one's pity aroused, etc.) to act
mengllagh-,to melt snow or ice for water
mengqughtagh-,to pop gum while chewing it
mengqughuute-,to make a popping sound
mengulghu-,to speak quietly; to babble
mengwaagtagh-,to make vocal sounds repeatedly but intermitently
mengwaagte-,to hear vocal sounds repeatedly but intermitently
mengyagh-,to attract unwanted spirits especially from the ocean by making excessive noise
menqeqengeltagh-,to crackle; to click
menutu-,to be forceful, loud, strong
meqesigh-,to cause a skin to shed its hair by allowing it to age
meqete-,to put one's lips together; to close one's mouth tightly
meqe-,to shed hair
meqlegh-,to lack something; to be poor; to be short of something; to be in need of something
meqleqe-,to lack (it); be in need of (it)
meqralqagh-,to be partially furless; to have bald spots
meqsaghtugh-,to go quench one's thirst
meqsug-,to be thirsty
mesagh-,to dip something (food) into oil or the like
mesamsug-,to snack; to nibble
mesaqegtagh-,to make a smacking sound with the feet in mud
mesaqe-,to smack with the lips; to smack feet or the like on wet surface
mesighagh-,to deny one's guilt; to deny doing what one really did do
mesigha-,to deny one's guilt; to deny doing what one really did do
mesiighqe-,to oil; to get oily; to get or put oil on
mesiighquute-,to cook in oil; to drop into oil
mesiigh-,to dip food into oil preparatory to eating it; to eat, dipping the food into oil first; to remove liquid from (it)
mesughsugni-,to be a clear liquid
mesughtuqe-,to ooze or run (of a sore or cut)
mesugusugnagh-,to be swampy
mesunge-,to get wet; to get soaked
mesungleqe-,to get thoroughly soaked
mesungteqe-,to get thoroughly soaked
mesuuna-,to comb the hair; to brush the hair (by extension)
metagh-,to smother
metenge-,to suddenly fly up; to suddenly ascend
metengqe-,to be too big to fit (garment); to not fit (garment) because it is too small; to outgrow (garment)
metigh-,to make a sly remark
metngaamsiig-,to hop around (of bird or person)
metngeghute-,to kidnap; to run off or steal away taking (him/it)
metngegh-,to leap; to jump; spring up; to steal away; to kidnap
metngeqagh-,to jump quickly or far
metughi-,to get louder
mevliighqe-,to speak loudly and/or unintelligibly due to anger; to speak angrily with a raised voice
mighyagh-,to vomit
mighyasnguyug-,to feel nauseated
miigh-,to melt snow or ice for water
miigtagh-,to make pounding, booming, knocking or thudding noise
miigte-,to hold a drumming, singing and dance session in a newly completed house
miiguute-,to bang; to tap; to pound (not with hand)
miisigh-,to soak
miite-,to follow one's husband around as he engages in a certain ritual after catching a whale
milegmiqe-,to be made sad; to make sad; to sadden
milegtaagh-,to feel sad; to be downhearted; to be depressed
milughmig-,to throw things (especially, rocks) at (him/it)
milugh-,to throw something; to throw something at (him/it)
miluute-,to throw (it)
miluyagaghpaghqu-,to step with big strides (as in a certain competition)
minagh-,to bring food over to people in a different place
mingilate-,to scatter; to strew
mingite-,to scatter; to strew
mingllegte-,to tidy up; to straighten up
mingllite-,to put away
mingllu-,to pile sod against the wall of house (as to insulate it); to insulate the wall(s)
mingughhu-,to smear something onto (it); to get dirty
mingug-,to rub
mingwaagtuute-,to rub oneself on, in, or with something
mitghugh-,to go somewhere but not return as expected; to promise to do something but not follow up on it
mughaya-,to walk through deep snow
mughleg-,to roll up with the ends inside; to hide by rolling up
mughpagagh-,to fall down while walking
mughugte-,to take (it) away (as under the ice (of the water current))
mughunniigh-,to go hunting on the sea ice
mughute-,to hunt on the sea ice
mughu-,to take a step sinking into soft snow
mughuya-,to walk through deep snow
mughyug-,to submerge (of a seal) after poking its head out of the water
mugu-,to go away into the far distance; to move from place to place; for there to be a group of travelers in the distance
mulaagh-,to howl (of dogs, wolves, etc.); to roar
muluugh-,to tarry; to be gone for or to take a long time
mulu-,to tarry; to be gone for or to take a long time
mumegh-,to go sideways
mumigte-,to turn over
muugaghte-,to become sweet
muugate-,to be sweet
muughpagte-,to escape under the surface of the ocean (of sea mammal)
muughpag-,to flee under water (of sea mammal)
muute-,to ask someone to do something about (it)
muutighvike-,to ask (him) to do something
muutivike-,to ask (him) to do something
naafqe-,to break; to cause to break; to run make a break for it; for weather to become bad
naafqii-,to cause a disturbance
naafte-,to get stormy; for a blizzard to arise
naaggute-,to trip over something
naaghsagh-,to ignite; to light
naaghte-,to anesthetize with ether or the like
naagh-,to smell; to sniff; to kiss
naaghwaagh-,to sniff; to smell an odor for a while
naagsagh-,to target shoot
naagte-,to stumble; to trip
naakghite-,to be a poor shot
naalke-,to find
naalkute-,to find something
naallghute-,to fix or get fixed; to repair; to correct; to align or adjust
