Qikmim Ilakumtaalleghpigaa

qikmim	qikmigh[N][Rel][Unpd][Sg]
nagaquulluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagaqugh-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagaqugh-–ghte[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagaqugh-–ghte[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagaqugh-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagaqugh-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagaqugh-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagaqugh-te[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagaqugh-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagaqugh-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagaqugh-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagaqugh-~:(u)te[V→N]-te[N→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagaqugh-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagaqugh-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagaqugh-~:(ng₁)u[V→V]-te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagaqugh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagaqugh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V][V][Intr][Sbrd][3Sg]

qilugumakanga	qilug-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
qilugumakanga	qilug-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
qilugumakanga	qilug-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
qilugumakanga	qilug-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
qilugumakanga	qilug-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
qilugumakanga	qilug-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
qilugumakanga	qilug-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
qilugumakanga	qilug-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
qilugumakanga	qilug-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
qilugumakanga	qilug-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
qilugumakanga	qilug-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
qilugumakanga	qilug-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
qilugumakanga	qilug-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
qilugumakanga	qilug-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

------------------------


------------------------
"Ii-i qilugpenang," ineghsimakanga amaam, "kaynga tagillequq, neghelleqiinkung."

qilugpenang	qilug-@₁–nghite**[V→V][V][Intr][Sbrd][2Sg]
qilugpenang	qilug-@₁–nghite**[V→V][V][Trns][Sbrd][_][2Sg]

ineghsimakanga	ineghte-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ineghsimakanga	ineghte-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ineghsimakanga	ineghte-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ineghsimakanga	ineghte-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ineghsimakanga	ineghte-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
ineghsimakanga	ineghte-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
ineghsimakanga	ineghte-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

amaam	amaa[N][Rel][Unpd][Sg]

kaynga	kaynge[N][Abs][Unpd][Sg]

tagillequq	tagi-@₁~:(u)te[V→V]-@₁lleqe[V→V][V][Intr][Ind][3Sg]
tagillequq	tagi-te[V→V]-@₁lleqe[V→V][V][Intr][Ind][3Sg]
tagillequq	tagi-~:(u)te[V→V]-@₁lleqe[V→V][V][Intr][Ind][3Sg]
tagillequq	tagi-~:(u)te[V→N]-te[N→V]-@₁lleqe[V→V][V][Intr][Ind][3Sg]
tagillequq	tagi-–lleq[V→N]-~–ke[N→V][V][Intr][Ind][3Sg]
tagillequq	tagi-@₁lleqe[V→V][V][Intr][Ind][3Sg]
tagillequq	tagite-@₁lleqe[V→V][V][Intr][Ind][3Sg]

neghelleqiinkung	neghe-te[V→V]-@₁lleqe[V→V]-~i[V→V][V][Trns][Intrg][3Sg][1Du]
neghelleqiinkung	neghe-te[V→V]-@₁lleqe[V→V]-~i[V→V][V][Trns][Intrg][3Pl][1Du]
neghelleqiinkung	neghe-te[V→V]-@₁lleqe[V→V]-~i[V→V][V][Trns][Intrg][3Du][1Du]
neghelleqiinkung	neghe-te[V→V]-@₁lleqe[V→V][V][Trns][Ind][3Du][1Du]
neghelleqiinkung	neghe-te[V→V]-@₁lleqe[V→V][V][Trns][Ind][3Pl][1Du]
neghelleqiinkung	neghe-te[V→V]-@₁lleqe[V→V][V][Trns][Ind][3Sg][1Du]
neghelleqiinkung	neghe-–lleq[V→N]-––i[N→V][V][Trns][Intrg][3Sg][1Du]
neghelleqiinkung	neghe-–lleq[V→N]-––i[N→V][V][Trns][Intrg][3Pl][1Du]
neghelleqiinkung	neghe-–lleq[V→N]-––i[N→V][V][Trns][Intrg][3Du][1Du]
neghelleqiinkung	neghe-@₁lleqe[V→V]-~i[V→V][V][Trns][Intrg][3Sg][1Du]
neghelleqiinkung	neghe-@₁lleqe[V→V]-~i[V→V][V][Trns][Intrg][3Pl][1Du]
neghelleqiinkung	neghe-@₁lleqe[V→V]-~i[V→V][V][Trns][Intrg][3Du][1Du]
neghelleqiinkung	neghe-@₁lleqe[V→V][V][Trns][Ind][3Du][1Du]
neghelleqiinkung	neghe-@₁lleqe[V→V][V][Trns][Ind][3Pl][1Du]
neghelleqiinkung	neghe-@₁lleqe[V→V][V][Trns][Ind][3Sg][1Du]

------------------------


------------------------
Qikmiq sumeghtaghaamalghii, "Kayngawha whang­kuteg­neng iknaqenghita sanganqun amaam alikagu."

qikmiq	qikmigh[N][Abs][Unpd][Sg]

sumeghtaghaamalghii	sumeghtaghagh-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumeghtaghagh-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumeghtaghagh-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumeghtaghagh-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumegh-taq[N→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaamalghii	sumegh-ta[N→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

iknaqenghita	iknaqe-@₁–nghite[V→V][V][Intr][Intrg][3Sg]
iknaqenghita	iknaqe-@₁–nghite**[V→V][V][Intr][Intrg][3Sg]

sanganqun	sa-~fnga[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]-qun[Encl]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qe[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qe[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qe[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qe[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qe[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qu[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁~:(u)n[V→N]-qu[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁–negh[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁–negh[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁–negh[V→N]-~–ke[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-~fnga[V→V]-~:(u)te[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-–ngagh[V→V]-@₁–negh[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-–ngagh[V→V]-@₁–negh[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-–ngagh[V→V]-@₁–negh[V→N]-~–ke[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-–ngagh[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa-–ngagh[V→V]-@₁–negh[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
sanganqun	sa[N][Rel][3SgPoss][SgPosd]-qun[Encl]
sanganqun	sa[N][Rel][3SgPoss][PlPosd]-qun[Encl]
sanganqun	sangagh[N][Abs][2SgPoss][SgPosd]-qun[Encl]

amaam	amaa[N][Rel][Unpd][Sg]

alikagu	aw-–li[N→V][V][Trns][Cond][3Sg][3Sg]
alikagu	alugh-––i[N→V][V][Trns][Cond][3Sg][3Sg]
alikagu	alegh-––i[N→V][V][Trns][Cond][3Sg][3Sg]
alikagu	aligh-––i[N→V][V][Trns][Cond][3Sg][3Sg]
alikagu	alike[V][Trns][Intrg][3Sg][3Sg]

------------------------


------------------------
Taagken qikmim ivaghyaghtuumakanga kaynga.

taagken	taagken

qikmim	qikmigh[N][Rel][Unpd][Sg]

ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
ivaghyaghtuumakanga	ivagh-@₁~fyaghtugh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

kaynga	kaynge[N][Abs][Unpd][Sg]

------------------------
naalkelluku	Nalle-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	Nalle-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	Nalle-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	Nalle-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	Nalle-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	Nalle-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
naalkelluku	na-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	na-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~–ke[N→N]-lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	naa-–leg[N→N]-~–ke[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	naa-–leg[N→N]-~–ke[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
naalkelluku	naa-–leg[N→N]-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
