Qilughwaaghneng Wayaallghiik

qilughwaaghneng	qilughwaagh[N][Abl_Mod][Unpd][Pl]
awiiten	aw-––igh[N→V]-~:(ng₁)u[V→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(ng₁)ite[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	awi-te[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awi-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awi-––i[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awi-––i[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	awi-––i[N→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awi-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awi-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awiim-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awiim-––i[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awiim-––i[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	awiim-––i[N→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awite-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awii[N][Abs][2SgPoss][PlPosd]
awiiten	awii-te[N→V][V][Intr][Opt][PRS][2Sg]
awiiten	awii[N][Abs][2SgPoss][PlPosd]
awiiten	awi-ate[N→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-igh[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-agh[N→V]-~:(ng₁)ite[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	agugh-~:(ng₁)ite[N→V][V][Intr][Opt][PRS][2Sg]

iqiiten	iqug-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––i[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––i[N→V]-~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––i[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––i[N→V][V][Intr][Ind][2Sg]
iqiiten	iqug-––i[N→V][V][Trns][Intrg][3Sg][2Sg]
iqiiten	iqug-––i[N→V][V][Trns][Intrg][3Pl][2Sg]
iqiiten	iqug-––i[N→V][V][Trns][Intrg][3Du][2Sg]
iqiiten	iqug-––i[N→V][V][Trns][Ind][2Sg][3Pl]
iqiiten	iqug-––igh[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––ii[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––ii[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––ii[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
iqiiten	iqug-––ii[N→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––igh[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––igh[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
iqiiten	iqug-––igh[N→V]-~:(ng₁)u[V→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––igh[N→V]-~:(ng₁)ite[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––igh[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqug-––igh[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
iqiiten	iqite-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqa-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqa-––i[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqa-––i[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
iqiiten	iqa-––i[N→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––i[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––i[N→V]-~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––i[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––igh[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––ii[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––ii[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqiiten	iqe-––ii[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
iqiiten	iqe-––ii[N→V]-te[V→V][V][Intr][Opt][PRS][2Sg]

taagken	taagken

------------------------


------------------------
Taagken pimakanga Meteghllugwem,

taagken	taagken

pimakanga	pi-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
pimakanga	pi-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

------------------------
"Entami tuqluqaghqi qilughwaaghet taakut, aangqangaten taawa nekelleqaaten."

entami	entami

tuqluqaghqi	tuqlugh-~–(g₁)kaq[V→N]-–ghqe[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
tuqluqaghqi	tuqlugh-~–(g₁)kaq[V→N]-–ghqe[N→V][V][Intr][Opt][PRS][2Sg]
tuqluqaghqi	tuqlugh-~–qagh[V→V]-–ghqe[V→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
tuqluqaghqi	tuqlugh-~–qagh[V→V]-–ghqe[V→V][V][Intr][Opt][PRS][2Sg]
tuqluqaghqi	tuqlugh-~–qagh[V→V][V][Trns][Opt][PRS][2Sg][3Pl]
tuqluqaghqi	tuqlugh-~sf–(g₃)kaq[V→N]-–ghqe[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
tuqluqaghqi	tuqlugh-~sf–(g₃)kaq[V→N]-–ghqe[N→V][V][Intr][Opt][PRS][2Sg]

qilughwaaghet	qilughwaagh[N][Abs][Unpd][Pl]
qilughwaaghet	qilughwaagh[N][Rel][Unpd][Pl]

taakut	taake[V][Intr][Ind][3Pl]

aangqangaten	aangqagh-–nge[N→V][V][Trns][Intrg][3Sg][2Sg]
aangqangaten	aangqagh-–nge[N→V][V][Trns][Intrg][3Pl][2Sg]
aangqangaten	aangqagh-–nge[N→V][V][Trns][Intrg][3Du][2Sg]
aangqangaten	aangqagh-–nge[N→V][V][Trns][Ind][2Sg][3Pl]
aangqangaten	angegh-~–(g₁)kaq[V→N]-–nge[N→V][V][Trns][Intrg][3Sg][2Sg]
aangqangaten	angegh-~–(g₁)kaq[V→N]-–nge[N→V][V][Trns][Intrg][3Pl][2Sg]
aangqangaten	angegh-~–(g₁)kaq[V→N]-–nge[N→V][V][Trns][Intrg][3Du][2Sg]
aangqangaten	angegh-~–(g₁)kaq[V→N]-–nge[N→V][V][Trns][Ind][2Sg][3Pl]
aangqangaten	angegh-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Trns][Intrg][3Sg][2Sg]
aangqangaten	angegh-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Trns][Intrg][3Pl][2Sg]
aangqangaten	angegh-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Trns][Intrg][3Du][2Sg]
aangqangaten	angegh-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Trns][Ind][2Sg][3Pl]
aangqangaten	angegh-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Trns][Intrg][3Sg][2Sg]
aangqangaten	angegh-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Trns][Intrg][3Pl][2Sg]
aangqangaten	angegh-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Trns][Intrg][3Du][2Sg]
aangqangaten	angegh-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Trns][Ind][2Sg][3Pl]
aangqangaten	angegh[V][Trns][Ptcp][3Sg][2Sg]
aangqangaten	angegh[V][Trns][Ptcp][3Du][2Sg]
aangqangaten	angegh[V][Trns][Ptcp][3Pl][2Sg]

taawa	taawa

nekelleqaaten	ne-~–ke[N→V]-te[V→V]-@₁lleqe[V→V]-~aghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-~–ke[N→V]-~aghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-~–kaghte[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-~–kaghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-ate[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-ate[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-agh[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-agh[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-agh[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-agh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-agh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-agh[N→V]-~:(ng₁)u[V→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-agh[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→V]-–lleq[V→N]-agh[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
nekelleqaaten	ne-~–ke[N→V]-@₁lleqe[V→V]-~aghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→N]-te[N→V]-te[V→V]-@₁lleqe[V→V]-~aghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→N]-te[N→V]-te[V→V]-@₁lleqe[V→V][V][Trns][Ind][3Du][2Sg]
nekelleqaaten	ne-~–ke[N→N]-te[N→V]-te[V→V]-@₁lleqe[V→V][V][Trns][Ind][3Pl][2Sg]
nekelleqaaten	ne-~–ke[N→N]-te[N→V]-te[V→V]-@₁lleqe[V→V][V][Trns][Ind][3Sg][2Sg]
nekelleqaaten	ne-~–ke[N→N]-te[N→V]-@₁lleqe[V→V]-~aghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
nekelleqaaten	ne-~–ke[N→N]-te[N→V]-@₁lleqe[V→V][V][Trns][Ind][3Du][2Sg]
nekelleqaaten	ne-~–ke[N→N]-te[N→V]-@₁lleqe[V→V][V][Trns][Ind][3Pl][2Sg]
nekelleqaaten	ne-~–ke[N→N]-te[N→V]-@₁lleqe[V→V][V][Trns][Ind][3Sg][2Sg]

------------------------


------------------------
Anipa qalghighyaghtuq, naagu sameng piighhneghitut.

anipa	anipa[N][Abs][Unpd][Sg]

qalghighyaghtuq	qalghigh-@₁~fyagh[V→V]-–ghte[V→V][V][Intr][Ind][3Sg]
qalghighyaghtuq	qalghigh-@₁~fyagh[V→V][V][Intr][Ind][3Sg]
qalghighyaghtuq	qalghigh-@₁~fyagh[V→V]-te[V→V][V][Intr][Ind][3Sg]

naagu	na[V][Trns][Intrg][3Sg][3Sg]
naagu	naagu[N][Abs][Unpd][Sg]

sameng	sa[N][Abl_Mod][Unpd][Sg]
sameng	sa[N][Rel][4DuPoss][PlPosd]
sameng	sa[N][Rel][4DuPoss][SgPosd]
sameng	sa[N][Rel][4PlPoss][PlPosd]
sameng	sa[N][Rel][4PlPoss][SgPosd]
sameng	sameng

piighhneghitut	pi-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite**[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite**[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite**[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite**[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite**[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite**[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite**[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–nghite**[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁–negh[V→N]-––i[N→V]-te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-–ghte[V→V]-@₁–nghite[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-–ghte[V→V]-@₁–nghite**[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-–ghte[V→V]-@₁–negh[V→N]-~:(ng₁)ite[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-–ghte[V→V]-@₁–negh[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-–ghte[V→V]-@₁–negh[V→N]-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-–ghte[V→V]-@₁–negh[V→N]-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––i[N→V]-–ghte[V→V]-@₁–negh[V→N]-––i[N→V]-te[V→V][V][Intr][Ind][3Pl]
piighhneghitut	pi-aq[V→N]-––igh[N→V]-–ghte[V→V]-@₁–nghite[V→V][V][Intr][Ind][3Pl]
